"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story DDT","Search wiki by keyword test DDT","FAILURE","2023-05-02T21:01:16.2667553+03:00[Europe/Athens]","0.0","32.2"
"Search by keyword DDT ubb cluj","Search for valid query","ERROR","2023-05-04T15:05:59.7553987+03:00[Europe/Athens]","0.0","37.36"
"Search by keyword DDT ubb cluj","Search for invalid query","ERROR","2023-05-04T15:05:59.9779039+03:00[Europe/Athens]","0.0","12.29"
"Search by keyword ubb cluj DDT","Searching by keyword a should display the corresponding title","FAILURE","2023-05-04T15:39:02.8675914+03:00[Europe/Athens]","0.0","15.41"
"Search by keyword ubb cluj DDT","Searching by keyword orar should display the corresponding article","FAILURE","2023-05-04T15:39:19.0927104+03:00[Europe/Athens]","0.0","4.64"
"Search by keyword ubb cluj DDT","Searching by keyword invalid input too long should fail","ERROR","2023-05-04T15:39:24.0194921+03:00[Europe/Athens]","0.0","7.4"
"Search by keyword ubb cluj DDT","Searching by keyword b should display the corresponding title","FAILURE","2023-05-04T19:33:19.0056035+03:00[Europe/Athens]","0.0","12.05"
"Search by keyword ubb cluj DDT","Searching by ambiguious keyword should display the disambiguation page","PENDING","2023-05-04T19:47:38.3539494+03:00[Europe/Athens]","0.0","0.86"
"Search by keyword ubb cluj DDT","Searching by keyword invalid input too long should fail","ERROR","2023-05-04T19:47:38.6057797+03:00[Europe/Athens]","0.0","25.06"
"Search by keyword ubb cluj DDT","Searching by keyword orar should display the corresponding article","FAILURE","2023-05-04T19:47:38.7403376+03:00[Europe/Athens]","0.0","8.39"
"Search by keyword story","Searching by keyword basketball should display the corresponding article","SUCCESS","2023-05-04T19:53:05.633268+03:00[Europe/Athens]","0.0","11.94"
"Search by keyword story","Searching by keyword magnesium should display the corresponding article","SUCCESS","2023-05-04T19:53:18.2847794+03:00[Europe/Athens]","0.0","2.32"
"Search by keyword story","Searching by keyword banana should display the corresponding article","FAILURE","2023-05-04T19:53:20.7296443+03:00[Europe/Athens]","0.0","2.64"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2023-05-04T19:53:23.4482259+03:00[Europe/Athens]","0.0","0.26"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2023-05-04T19:53:23.8236886+03:00[Europe/Athens]","0.0","2.95"
"Select language ubb cluj DDT","Select change language should display the corresponding title in en","SUCCESS","2023-05-04T19:30:25.8124069+03:00[Europe/Athens]","0.0","15.85"
"Select language ubb cluj DDT","Searching by ambiguious keyword should display the disambiguation page","PENDING","2023-05-04T19:30:46.6214566+03:00[Europe/Athens]","0.0","0.25"
"Select language ubb cluj DDT","Select change language should display the corresponding title in ro","FAILURE","2023-05-04T19:32:06.9977061+03:00[Europe/Athens]","0.0","12.07"
"Select language ubb cluj DDT","Select change language invalid should display the corresponding title in ro should fail","FAILURE","2023-05-04T19:51:58.3437342+03:00[Europe/Athens]","0.0","18.64"
"Select language ubb cluj DDT","Select change language should display the corresponding title in en","FAILURE","2023-05-04T19:51:58.5648655+03:00[Europe/Athens]","0.0","7.54"
